Job Title,Company Name,Location,Job Description
"Machine Learning Ecosystem Engineer
- job post",ARM,Cambridge CB2 3AP•Hybrid work,"
Job Overview

  Arm's Machine Learning group is hiring in western Europe! Want to help show developers the AI capabilities of efficient, next-generation mobile devices? If so, we should talk!
 

  We are a diverse team of hardworking problem solvers located across multiple countries and our flexible working practices enable us to collaborate efficiently across our different regions. We develop examples that we share with the world to highlight the frameworks and techniques available to developers seeking to run AI on Arm.
 
 Responsibilities:

  We use our interpersonal and communications skills in direct contact with outstanding companies across multiple technology domains - we forge new paths and assist developers the world over to follow in our footsteps, helping them to bring their visions to bear.
 

  This is an excellent opportunity to contribute to the solutions powering the next generation of mobile applications, portable devices and home automation.
 

  We look forward to receiving your application - and potentially welcoming you to Arm.
 
 Required skills and experience:

Good programming skills - preferably C++ and OOP
Experience of machine learning frameworks such as TensorFlow or PyTorch
A desire to have a positive impact both within our team and the wider Arm ecosystem

 ""Nice to have"" abilities and knowledge:

Programming mobile GPUs (e.g. using shaders, Vulkan) would be a valuable differentiator
Development experience using Kotlin or Java
Android application development using Android Studio

 In Return:

  In return, the successful candidate will get to influence the next wave of developers on how best to deploy Machine Learning workloads on Arm processors. You'll have the chance to interact with a wide range of engineers from prospective Arm customers through to members of the Arm ecosystem. Your work will be published widely, whether as technical blogs or open source code repositories.
 


 #LI-JB1
 

 Accommodations at Arm
At Arm, we want our people to Do Great Things. If you need support or an accommodation to Be Your Brilliant Self during the recruitment process, please email accommodations@arm.com. To note, by sending us the requested information, you consent to its use by Arm to arrange for appropriate accommodations. All accommodation requests will be treated with confidentiality, and information concerning these requests will only be disclosed as necessary to provide the accommodation. Although this is not an exhaustive list, examples of support include breaks between interviews, having documents read aloud or office accessibility. Please email us about anything we can do to accommodate you during the recruitment process.
 Hybrid Working at Arm
Arm’s approach to hybrid working is designed to create a working environment that supports both high performance and personal wellbeing. We believe in bringing people together face to face to enable us to work at pace, whilst recognizing the value of flexibility. Within that framework, we empower groups/teams to determine their own hybrid working patterns, depending on the work and the team’s needs. Details of what this means for each role will be shared upon application. In some cases, the flexibility we can offer is limited by local legal, regulatory, tax, or other considerations, and where this is the case, we will collaborate with you to find the best solution. Please talk to us to find out more about what this could look like for you.
 Equal Opportunities at Arm
Arm is an equal opportunity employer, committed to providing an environment of mutual respect where equal opportunities are available to all applicants and colleagues. We are a diverse organization of dedicated and innovative individuals, and don’t discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
"
"Senior Data Scientist
- job post",Specsavers,Remote,"
Up to £80,000 (depending on experience) + bonus and benefits
We offer two bonuses (personal performance paid quarterly and company performance paid annually) with private healthcare and dental cover and a generous pension scheme.
Are you ready to transform the world of data at Specsavers?

At Specsavers, our mission is to enhance lives through improved sight and hearing. Our award-winning data professionals are pivotal to this mission, and we are seeking a dedicated Senior Data Scientist to join us. Envision guiding a team in creating top-tier data products, from advanced machine learning models to insightful dashboards, all while fostering innovation and providing technical expertise to colleagues worldwide.

You will be at the forefront of our data-driven journey. You’ll work closely with stakeholders to tackle business challenges, propose innovative solutions, and build data science product roadmaps. Your role will involve designing, automating, and monitoring machine learning models, ensuring they deliver real value to our business areas, including supply chain, marketing, finance, and more.

You will deliver impactful data science products and play a pivotal role in transforming our data culture. Manage workshops, and hackathons to showcase the art of the possible with data science. Mentor and coach junior colleagues, fostering a collaborative and innovative environment. Stay ahead of the curve by exploring the latest in data science and AI, and bring those insights back to Specsavers.

If you’re an expert in machine learning models within a cloud computing environment, have worked with various data science techniques, and have used tools like Python, Databricks, SQL, and Azure, Communication is key so if you have a knack for conveying complex concepts to non-technical audiences, We want to hear from you. Join us in our mission to create tangible value from data and be part of a team that’s loved by every customer and proud to belong.

Apply now and be a part of something extraordinary at Specsavers!
"
"2025 Analytics and Data Science Graduate Programme
- job post",TUI Group,Luton,"

  Luton, GBR Hybrid Permanent Full Time 37.5 130070
 


Want to get your career off to a flying start? The sky’s the limit with TUI. We’re the world's number one tourism business, operating in around 180 destinations worldwide, which means limitless global opportunities for you and your future.
As part of our Analytics & Data Science Graduate Programme, you’ll spend two invaluable years working right at the heart of our business – with real responsibilities, and the chance to work on real projects. You’ll gain a unique insight into our exciting and dynamic industry, with exposure to many other functional areas and senior colleagues. You’ll have lots of fun during your time with us, and we’ll ensure you get the support you need every step of the way.
The application of analytical techniques and data-based decision-making being critical to TUI’s future success and a key source of competitive advantage. Throughout the programme, you’ll be working to ensure TUI fully benefits from the world of “big data” and continues to find innovative ways to make the right decision at the right time to both enhance the customer experience and maximise profitability.

This is an opportunity for you to join a graduate programme that’s focused on producing business leaders and gives you the chance to make a valuable contribution to our Analytics and Data Science function.
We welcome applications from those who studied outside the UK. However, a requirement of our training providers and universities is that we provide them evidence that these grades are the correct equivalent to GCSEs/A levels or Degrees. You will be required to apply for your grades to be converted and you can do this by visiting: Home Page (enic.org.uk) and applying for a statement of comparability.

 ABOUT OUR OFFER


Starting salary for the role is £32,265 per annum with fantastic progression
Fantastic holiday benefits including discounts, special offers and the ability to purchase additional ‘TUI time off’
Excellent rates with foreign exchange
Health and Wellbeing support in five key areas – Financial, Health, Social, Community and Career
Private Medical Insurance, single cover with option to add dependants
Permanent Health Insurance
Pension scheme and life assurance
On completion of the Graduate programme a voucher (amount dependent on the apprenticeship level) and an extra day off
Access to student discount via Totum
Network of other apprentices/graduates and colleagues
Buddy support throughout the programme
One day off each week from work duties to study towards your apprenticeship qualification


 ABOUT THE JOB

During our two-year programme, you’ll gain experience within one of our four Analytics & Data Science teams. At the end of the two years, we’ll aim for you be ready to take the next step in your career within the teams. The four analytics areas we have are:

 Digital Analytics – where we use web behavioural data to optimise the use of our web and mobile sites
 Commercial Analytics – using demand forecasts and profitability data to optimise price and capacity management
 Customer Analytics – focusing on using our rich customer data to truly personalise the customer experience
 Aviation Analytics – working closely with our operational teams to drive the use of data science in all stages of the aviation journey, from optimising the routes of our planes to forecasting the food we should pack on board

There will be different career pathways for you to choose during your graduate journey, these include opportunities to specialise in the following areas:

Data science and machine learning techniques
Solution design and feature engineering
Data analytics and Reporting
Product ownership and consultancy

During your time on the scheme, you will:

Work directly with stakeholders from across the business, getting to the heart of a problem and providing workable business solutions
Provide analysis that truly addresses the underlying problem, ensuring solutions are implemented with the impact being tracked and results measured
Gain experience in managing and explaining complex analysis to a variety of stakeholders
Use a range of modelling and analytical techniques, supported by the appropriate software, either to answer key business questions or deliver decision-making applications which ensure that decisions are made on a consistent and scientific basis
Thrive in an environment where you can learn from senior colleagues with experience in a wide range of industries, as well as learn about new technologies

As well as the varied exposure and experience you’ll get during the scheme, you’ll also be given the opportunity to continue your studies by studying part-time for your Level 7 Data Scientist apprenticeship – fully funded by us. If you choose to do this, the first two years of the apprenticeship will be completed alongside the graduate programme, while the final year will be completed alongside your permanent role. You’ll have the opportunity to express your interest in this during the recruitment process. For more details on this pathway click Research Scientist (Data Science Professional) | Degree Partnerships | University of Exeter

 ABOUT YOU

Analytical approach to solving problems and creating solutions
Strategic thinker
Natural drive to achieve both individual and business results with a commercial focus
Brings innovative ideas and insights
Engages and collaborates with others
A focus on providing unrivalled service to our customers
Hunger for learning, with a minimum of GCSE grade 4 or C (or equivalent) in English and Maths, at least 2:2 degree classification and a commitment to gaining your Level 7 Data Scientist apprenticeship should you wish to complete this
A passion for analytics and science, as well as an interest in the travel industry

From a workplace to a place to belong. At TUI we embrace diversity, equity, and inclusion, encouraging everyone to come as you are, because together, our potential is limitless.
We are committed to supporting candidates with disabilities and impairments so if you require any support, please do let us know.

We are part of the Disability Confident Scheme and welcome disabled applicants. As users of the Disability Confident Scheme, we guarantee to interview all disabled applicants who meet the minimum criteria for the vacancy.

 ** We have an under-representation of ethnic minority and disabled colleagues at TUI and therefore welcome applications from people who come from these groups.***

 **Currently TUI is unable to provide visa sponsorship, you must have permanent right to live and work in the UK without sponsorship to be eligible to apply. This includes applicants in possession of a Tier 4 Student visa.

 Application Deadline: 24th January 2025
Please note that we reserve the right to close the vacancy earlier than the stated deadline due to the high volume of applications.
Don't miss this opportunity to shape your future and make a meaningful impact on the global travel and tourism industry.

"
"Staff Software Engineer - Machine Learning
- job post",ARM,Cambridge CB2 3AP•Hybrid work,"

  Arm's Machine Learning (ML) Group is seeking a highly motivated and creative Software Engineer to join and lead a growing team of brilliant engineers located in Cambridge, UK specialising in ML frameworks and compilers.
 


 This role presents an opportunity to contribute to sophisticated ML technology supporting Arm's ML Hardware. You will help to build the software that enables development of deep learning applications in many ground-breaking fields including self-driving cars, generative AI engines and ML-powered wearables.
 
 Job Description:

  The ML Tooling team is looking for a software engineer with line management experience who can build a range of innovative compiler solutions for a variety of markets.
 

  You will apply your experience and insight to craft and optimise compilers for machine learning networks that target Arm’s CPUs, GPUs and NPUs.
 
 Responsibilities:

Contribute to deliver production-grade software and push the boundaries of Machine Learning compilation
Recruit, develop, support and retain your engineers working as part of a larger team
Build, extend and collaborate on innovative ML compilation software projects, such as TensorFlow, PyTorch, TOSA and the broader MLIR ecosystem
Work with other groups in Arm to expand support for Arm architecture and ecosystem

 Required skills and experience:

A passion for software development and quality
Line management of a small team (4-8 engineers)
Proven experience with C++, understanding of Python is a plus
Experience with the full software development lifecycle - planning, designing, developing, testing, delivering, and maintaining production-quality software
Experience with or interest in compilers
Desire to learn new skills and technologies and work in a highly motivated team
High degree of initiative and problem solving skills
Ability to own team's delivery and lead others on large or more sophisticated tasks
Excellent communication skills.

 ""Nice to have"" skills and experience:

Experience with contributing to open-source projects and working with a broader open-source community
Knowledge or curiosity about computer vision, machine learning, their applications and frameworks
Experience with Linux and scripting languages, such as shell-scripting

 In Return:

  On top of the already compelling Life at Arm, we offer strong team culture, learning opportunities, regular career conversations, emphasis on diversity, equity and inclusion and a continuous improvement approach.
 


 #LI-JB1
 
 Accommodations at Arm
At Arm, we want our people to Do Great Things. If you need support or an accommodation to Be Your Brilliant Self during the recruitment process, please email accommodations@arm.com. To note, by sending us the requested information, you consent to its use by Arm to arrange for appropriate accommodations. All accommodation requests will be treated with confidentiality, and information concerning these requests will only be disclosed as necessary to provide the accommodation. Although this is not an exhaustive list, examples of support include breaks between interviews, having documents read aloud or office accessibility. Please email us about anything we can do to accommodate you during the recruitment process.
 Hybrid Working at Arm
Arm’s approach to hybrid working is designed to create a working environment that supports both high performance and personal wellbeing. We believe in bringing people together face to face to enable us to work at pace, whilst recognizing the value of flexibility. Within that framework, we empower groups/teams to determine their own hybrid working patterns, depending on the work and the team’s needs. Details of what this means for each role will be shared upon application. In some cases, the flexibility we can offer is limited by local legal, regulatory, tax, or other considerations, and where this is the case, we will collaborate with you to find the best solution. Please talk to us to find out more about what this could look like for you.
 Equal Opportunities at Arm
Arm is an equal opportunity employer, committed to providing an environment of mutual respect where equal opportunities are available to all applicants and colleagues. We are a diverse organization of dedicated and innovative individuals, and don’t discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
"
"Forecasting Data Scientist
- job post",Octopus Energy Group,London,"

  The Energy Markets team at Octopus Energy is responsible for making sure that we always have the electricity and gas we need to support our customer demand whilst also supporting the grid to enable the Net Zero transition.
 

  To achieve this mission across all Octopus international regions, we need to forecast the demand of each of our customers and the production of our generation assets. The Forecasting team owns the underlying models and the forecasting data platform that feeds into business operations across the international group.
 

  We are looking for a Data Scientist to join the team - ideally someone who is skilled at data analysis, has at least some experience or familiarity with machine learning models and can grasp the commercial concepts and needs of the wider business to really add value.
 
What you will be doing:

Building, improving and maintaining forecasting models.
Development on forecasting framework and tools.
Maintaining and automating forecasting processes, whilst building in checks and alerting.
Designing and building forecasting dashboards/ reports that cover operational processes and reporting requirements;
Standardising and rolling out forecasting models across the international markets.
Performing ad-hoc analysis.
Collaborating with Risk, Trading, Renewables, Flexibility teams and building pipelines into the wider business.

 Who we are looking for: 

Experience with Python (pandas) and SQL is essential;
Able to quickly understand commercial concepts quickly and effectively;
Team player excited at the idea of ownership across lots of different projects and tools;
Passion for driving towards Net Zero;
Drives knowledge sharing and documentation for a more effective platform;
Open to travelling to Octopus international offices;
Experience with Machine Learning, dbt, Airflow and Spark is beneficial.
Experience in the energy industry

Why else you'll love it here:

 Wondering what the salary for this role is? Just ask us! On a call with one of our recruiters it's something we always cover as we genuinely want to match your experience with the correct salary. The reason why we don't advertise is because we honestly have a degree of flexibility and would never want salary to be a reason why someone doesn't apply to Octopus - what's more important to us is finding the right octofit!
Octopus Energy is a unique culture. An organisation where people learn, decide, and build quicker. Where people work with autonomy, alongside a wide range of amazing co-owners, on projects that break new ground. We want your hard work to be rewarded with perks you actually care about! We won best company to work for in 2022, on Glassdoor we were voted 50 best places to work in 2022 and our Group CEO, Greg has recorded a podcast about our culture and how we empower our people. We’ve also been placed in the top 10 companies for senior leadership
Visit our UK perks hub - Octopus Employee Benefits

"
"DATA SCIENTIST
- job post",Atos,Bristol BS8 2LR,
"Apprentice - Data Science
- job post",British Airways,Heathrow,"

Salary: £26,938
 Location: London Heathrow
 Application Closing Date: 25 November 2024
 Start Date: October 2025

Airlines are complex, everchanging and data rich, which means that the industry provides one of the most varied and interesting places for data and analytics professionals to work. Projects like tracking flight revenue against commercial targets, or measuring the impact on a change in fares, requires a creative approach identifying and exploiting value from current and new data sources, applying advanced analytical techniques and visualisations.
You will join our Insights and Innovation team, who have exceptional technical skills and first-class business knowledge, using techniques from the fields of data science, data engineering and data visualisation. The Insights and Innovation team work with different directorates across our business to collate, cleanse and analyse different data to produce reports to drive strategic decision making across BA.
As part of the programme, you will study towards a BSc in Data Science with our chosen training provider Northeastern University (NCH), embedding your new theoretical knowledge into the workplace. Following the completion of your Level 6 apprenticeship, you may be fast tracked for an interview as a permanent team member within our Insights and Innovation department.

 About you
We are looking for GCSEs in English and Maths at grade 9 -4 (A*- C) or equivalent. As well as hold or be predicted to hold 3 A Levels totalling a minimum of 128 UCAS points (equivalent to ABB), with a minimum grade of B at A Level Maths, or equivalent.
A practical thinker with a customer focus, you’ll need to be good with numbers and communicate with our colleagues in an engaging way.

 What's in it for you?
Looking to join our apprenticeship scheme? You won't be disappointed. Recently being ranked #18 in the Rate My Apprenticeship Top 100 Apprentice Employers, we can't wait to welcome you into the British Airways family.
We have many benefits for apprentices at British Airways, here are a handful to showcase the diversity of our apprentice community:

Increase in salary after you have completed the first year of your apprenticeship, if completed in line with your development objectives
Part of the British Airways apprentice network and community, with the opportunity to engage with apprentices from all schemes in the business and learn from former apprentices
Involvement in our ambitious sustainability vision, volunteering an active role to champion specific community groups including LGBTQ+ 'Flying Proud' and ethnic minority colleague network Be ME
Involvement in Community Investment programmes, taking part in fundraising challenges for partnership charities, supporting causes close to your heart
Volunteering in schools and colleges sharing personal experiences to inspire, motivate and coach students and support their potential to gain employment in the industry we love
Access to heavily discounted flights to globe trot, and a generous annual leave entitlement to turn your bucket list into reality



Further information and next steps


We are delighted that you are considering applying! Here’s some more information you may need about the application process:

All sections of your application need to be complete, including all online tests, by the deadline given
Due to high volumes of applications, you may only apply for one apprenticeship programme. We would recommend for you to read about each scheme before applying as only your first application will be considered
If you are successful with the online tests, you will be invited to complete a short video interview within a given timeframe
Across all stages of the application process, if you fail to submit by the deadline, your application will be automatically withdrawn.

At British Airways we all have a part to play in creating an inclusive place to work. Diverse representation among our people is really important to us and we recognise that all our colleagues are uniquely different and bring their own originality, creativity and identity to work.
Inclusion and diversity is a key driver of innovation and we’re committed to creating a culture where everyone feels that they can be themselves. We’re looking for people from all backgrounds and cultures to join us and be a part of our journey to become a Better BA as we continue to connect Britain with the world and the world with Britain.

 Timelines for this recruitment process

Initial applications open between 4 November – 25th November but may close earlier if volumes are high
If your initial application is successful, you will be invited to complete a video interview in January 2025
If your video interview is successful, you will be invited to a Virtual Assessment Centre in March/April 2025




  How to apply
 





Click here to apply





"
"Machine Learning Ecosystem Engineer
- job post",ARM,Cambridge CB2 3AP•Hybrid work,"
Job Overview

  Arm's Machine Learning group is hiring in western Europe! Want to help show developers the AI capabilities of efficient, next-generation mobile devices? If so, we should talk!
 

  We are a diverse team of hardworking problem solvers located across multiple countries and our flexible working practices enable us to collaborate efficiently across our different regions. We develop examples that we share with the world to highlight the frameworks and techniques available to developers seeking to run AI on Arm.
 
 Responsibilities:

  We use our interpersonal and communications skills in direct contact with outstanding companies across multiple technology domains - we forge new paths and assist developers the world over to follow in our footsteps, helping them to bring their visions to bear.
 

  This is an excellent opportunity to contribute to the solutions powering the next generation of mobile applications, portable devices and home automation.
 

  We look forward to receiving your application - and potentially welcoming you to Arm.
 
 Required skills and experience:

Good programming skills - preferably C++ and OOP
Experience of machine learning frameworks such as TensorFlow or PyTorch
A desire to have a positive impact both within our team and the wider Arm ecosystem

 ""Nice to have"" abilities and knowledge:

Programming mobile GPUs (e.g. using shaders, Vulkan) would be a valuable differentiator
Development experience using Kotlin or Java
Android application development using Android Studio

 In Return:

  In return, the successful candidate will get to influence the next wave of developers on how best to deploy Machine Learning workloads on Arm processors. You'll have the chance to interact with a wide range of engineers from prospective Arm customers through to members of the Arm ecosystem. Your work will be published widely, whether as technical blogs or open source code repositories.
 


 #LI-JB1
 

 Accommodations at Arm
At Arm, we want our people to Do Great Things. If you need support or an accommodation to Be Your Brilliant Self during the recruitment process, please email accommodations@arm.com. To note, by sending us the requested information, you consent to its use by Arm to arrange for appropriate accommodations. All accommodation requests will be treated with confidentiality, and information concerning these requests will only be disclosed as necessary to provide the accommodation. Although this is not an exhaustive list, examples of support include breaks between interviews, having documents read aloud or office accessibility. Please email us about anything we can do to accommodate you during the recruitment process.
 Hybrid Working at Arm
Arm’s approach to hybrid working is designed to create a working environment that supports both high performance and personal wellbeing. We believe in bringing people together face to face to enable us to work at pace, whilst recognizing the value of flexibility. Within that framework, we empower groups/teams to determine their own hybrid working patterns, depending on the work and the team’s needs. Details of what this means for each role will be shared upon application. In some cases, the flexibility we can offer is limited by local legal, regulatory, tax, or other considerations, and where this is the case, we will collaborate with you to find the best solution. Please talk to us to find out more about what this could look like for you.
 Equal Opportunities at Arm
Arm is an equal opportunity employer, committed to providing an environment of mutual respect where equal opportunities are available to all applicants and colleagues. We are a diverse organization of dedicated and innovative individuals, and don’t discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
"
"Senior Data Scientist
- job post",Specsavers,Remote,"
Up to £80,000 (depending on experience) + bonus and benefits
We offer two bonuses (personal performance paid quarterly and company performance paid annually) with private healthcare and dental cover and a generous pension scheme.
Are you ready to transform the world of data at Specsavers?

At Specsavers, our mission is to enhance lives through improved sight and hearing. Our award-winning data professionals are pivotal to this mission, and we are seeking a dedicated Senior Data Scientist to join us. Envision guiding a team in creating top-tier data products, from advanced machine learning models to insightful dashboards, all while fostering innovation and providing technical expertise to colleagues worldwide.

You will be at the forefront of our data-driven journey. You’ll work closely with stakeholders to tackle business challenges, propose innovative solutions, and build data science product roadmaps. Your role will involve designing, automating, and monitoring machine learning models, ensuring they deliver real value to our business areas, including supply chain, marketing, finance, and more.

You will deliver impactful data science products and play a pivotal role in transforming our data culture. Manage workshops, and hackathons to showcase the art of the possible with data science. Mentor and coach junior colleagues, fostering a collaborative and innovative environment. Stay ahead of the curve by exploring the latest in data science and AI, and bring those insights back to Specsavers.

If you’re an expert in machine learning models within a cloud computing environment, have worked with various data science techniques, and have used tools like Python, Databricks, SQL, and Azure, Communication is key so if you have a knack for conveying complex concepts to non-technical audiences, We want to hear from you. Join us in our mission to create tangible value from data and be part of a team that’s loved by every customer and proud to belong.

Apply now and be a part of something extraordinary at Specsavers!
"
"2025 Analytics and Data Science Graduate Programme
- job post",TUI Group,Luton,"

  Luton, GBR Hybrid Permanent Full Time 37.5 130070
 


Want to get your career off to a flying start? The sky’s the limit with TUI. We’re the world's number one tourism business, operating in around 180 destinations worldwide, which means limitless global opportunities for you and your future.
As part of our Analytics & Data Science Graduate Programme, you’ll spend two invaluable years working right at the heart of our business – with real responsibilities, and the chance to work on real projects. You’ll gain a unique insight into our exciting and dynamic industry, with exposure to many other functional areas and senior colleagues. You’ll have lots of fun during your time with us, and we’ll ensure you get the support you need every step of the way.
The application of analytical techniques and data-based decision-making being critical to TUI’s future success and a key source of competitive advantage. Throughout the programme, you’ll be working to ensure TUI fully benefits from the world of “big data” and continues to find innovative ways to make the right decision at the right time to both enhance the customer experience and maximise profitability.

This is an opportunity for you to join a graduate programme that’s focused on producing business leaders and gives you the chance to make a valuable contribution to our Analytics and Data Science function.
We welcome applications from those who studied outside the UK. However, a requirement of our training providers and universities is that we provide them evidence that these grades are the correct equivalent to GCSEs/A levels or Degrees. You will be required to apply for your grades to be converted and you can do this by visiting: Home Page (enic.org.uk) and applying for a statement of comparability.

 ABOUT OUR OFFER


Starting salary for the role is £32,265 per annum with fantastic progression
Fantastic holiday benefits including discounts, special offers and the ability to purchase additional ‘TUI time off’
Excellent rates with foreign exchange
Health and Wellbeing support in five key areas – Financial, Health, Social, Community and Career
Private Medical Insurance, single cover with option to add dependants
Permanent Health Insurance
Pension scheme and life assurance
On completion of the Graduate programme a voucher (amount dependent on the apprenticeship level) and an extra day off
Access to student discount via Totum
Network of other apprentices/graduates and colleagues
Buddy support throughout the programme
One day off each week from work duties to study towards your apprenticeship qualification


 ABOUT THE JOB

During our two-year programme, you’ll gain experience within one of our four Analytics & Data Science teams. At the end of the two years, we’ll aim for you be ready to take the next step in your career within the teams. The four analytics areas we have are:

 Digital Analytics – where we use web behavioural data to optimise the use of our web and mobile sites
 Commercial Analytics – using demand forecasts and profitability data to optimise price and capacity management
 Customer Analytics – focusing on using our rich customer data to truly personalise the customer experience
 Aviation Analytics – working closely with our operational teams to drive the use of data science in all stages of the aviation journey, from optimising the routes of our planes to forecasting the food we should pack on board

There will be different career pathways for you to choose during your graduate journey, these include opportunities to specialise in the following areas:

Data science and machine learning techniques
Solution design and feature engineering
Data analytics and Reporting
Product ownership and consultancy

During your time on the scheme, you will:

Work directly with stakeholders from across the business, getting to the heart of a problem and providing workable business solutions
Provide analysis that truly addresses the underlying problem, ensuring solutions are implemented with the impact being tracked and results measured
Gain experience in managing and explaining complex analysis to a variety of stakeholders
Use a range of modelling and analytical techniques, supported by the appropriate software, either to answer key business questions or deliver decision-making applications which ensure that decisions are made on a consistent and scientific basis
Thrive in an environment where you can learn from senior colleagues with experience in a wide range of industries, as well as learn about new technologies

As well as the varied exposure and experience you’ll get during the scheme, you’ll also be given the opportunity to continue your studies by studying part-time for your Level 7 Data Scientist apprenticeship – fully funded by us. If you choose to do this, the first two years of the apprenticeship will be completed alongside the graduate programme, while the final year will be completed alongside your permanent role. You’ll have the opportunity to express your interest in this during the recruitment process. For more details on this pathway click Research Scientist (Data Science Professional) | Degree Partnerships | University of Exeter

 ABOUT YOU

Analytical approach to solving problems and creating solutions
Strategic thinker
Natural drive to achieve both individual and business results with a commercial focus
Brings innovative ideas and insights
Engages and collaborates with others
A focus on providing unrivalled service to our customers
Hunger for learning, with a minimum of GCSE grade 4 or C (or equivalent) in English and Maths, at least 2:2 degree classification and a commitment to gaining your Level 7 Data Scientist apprenticeship should you wish to complete this
A passion for analytics and science, as well as an interest in the travel industry

From a workplace to a place to belong. At TUI we embrace diversity, equity, and inclusion, encouraging everyone to come as you are, because together, our potential is limitless.
We are committed to supporting candidates with disabilities and impairments so if you require any support, please do let us know.

We are part of the Disability Confident Scheme and welcome disabled applicants. As users of the Disability Confident Scheme, we guarantee to interview all disabled applicants who meet the minimum criteria for the vacancy.

 ** We have an under-representation of ethnic minority and disabled colleagues at TUI and therefore welcome applications from people who come from these groups.***

 **Currently TUI is unable to provide visa sponsorship, you must have permanent right to live and work in the UK without sponsorship to be eligible to apply. This includes applicants in possession of a Tier 4 Student visa.

 Application Deadline: 24th January 2025
Please note that we reserve the right to close the vacancy earlier than the stated deadline due to the high volume of applications.
Don't miss this opportunity to shape your future and make a meaningful impact on the global travel and tourism industry.

"
