Job Title,Company Name,Salary Estimate,Rating,Job Description,Skills,Location,Founded,Size
Senior Applied Scientist (Computer Vision / Machine Learning),Entrust Datacard,null,3.7,"Show moreCareer Growth, Flexibility and Collaboration!
Entrust is an innovative leader in identity-centric security solutions, providing an integrated platform of scalable, AI-enabled security offerings. Headquartered in Minnesota, we offer our colleagues the ability to work globally, in a flexible and collaborative environment. Our team makes an impact!!
The Company: Entrust relies on curious, dedicated and innovative individuals whom anticipate the future and provide solutions for a more connected, mobile and secure world. Entrust’s technologies and expertise help government agencies, enterprises and financial institutions in more than 150 countries serve and safeguard citizens, employees and consumers.
We Believe: Securing identities is most effective when we value all identities. We are committed to ensuring that, through diversity and inclusion, the many voices that make up our communities are heard. From unconscious bias training for managers to global affinity groups that create connections both within and across our enterprise, Entrust expects and encourages all individuals to accept and respect one another. And, of course, to be themselves.
Grace Rusingiza
Grace.Rusingiza@entrust.com",,United Kingdom,1969,1001 to 5000 Employees
Data Science & CRO Analyst,AYKO Digital Ltd,null,4.0,"Show moreLocation: Hybrid/Leeds. 1 day per week in the office.
AYKO is on the lookout for a data science expert who’s looking for a step forward in their career! We’re looking for someone who knows their way around Google Analytics, CRO tools, Google Tag manager and understands data measurement and analysis and is ambitious and wants to help us grow our existing team.
We’ve designed a programme to support the right person with the knowledge, training and tools to thrive within this role. All of our team receive individually tailored training plans designed to help them progress their career at AYKO. All that we require is the right person with the right mindset with a hunger for long-term success and evidence of strong SEO experience.
As a key part of the Digital Marketing team, You’ll work with a portfolio of existing clients as well as supporting our portfolio.",,"Leeds, England",--,1 to 50 Employees
2025 Analytics and Data Science Graduate Programme,TUI Group,null,4.0,"Show moreLuton, GBR Hybrid Permanent Full Time 37.5 130070
Want to get your career off to a flying start? The sky’s the limit with TUI. We’re the world's number one tourism business, operating in around 180 destinations worldwide, which means limitless global opportunities for you and your future.
As part of our Analytics & Data Science Graduate Programme, you’ll spend two invaluable years working right at the heart of our business – with real responsibilities, and the chance to work on real projects. You’ll gain a unique insight into our exciting and dynamic industry, with exposure to many other functional areas and senior colleagues. You’ll have lots of fun during your time with us, and we’ll ensure you get the support you need every step of the way.
The application of analytical techniques and data-based decision-making being critical to TUI’s future success and a key source of competitive advantage. Throughout the programme, you’ll be working to ensure TUI fully benefits from the world of “big data” and continues to find innovative ways to make the right decision at the right time to both enhance the customer experience and maximise profitability.",,"Luton, East of England, England",1965,10000+ Employees
Risk Data Science Manager,Virgin Money,null,2.8,"Show moreBusiness Unit: IRB, Scorecards & Non-Financial Risk (IS&N)
Salary range: up to circa £70,000 per annum DOE + red-hot benefits
Location: UK Flexible
Contract type: 1 x fixed term circa 12 months & 1 x Permanent
Don’t settle for dull. Live a life more Virgin.
Our team
Our Risk department provide us with a fool proof framework to make decisions that we know will keep our customers’ and investors’ money safe. They are always safeguarding our bank from an array of risks that could pop up at any moment. As part of the IRB, Scorecards & Non-Financial Risk team you’ll help to secure the foundations of our business decisions by providing quantitative and qualitative analysis across our model suite, providing solutions support the acquisition of new business, risk based account management and manage capital across the banks’ lending portfolios.

The core role of our Leaders is to deliver the very best performance through their people by keeping our Purpose, Strategic Aims and Values & Behaviours at the heart of all they do.",,"Glasgow, Scotland",--,5001 to 10000 Employees
TikTok Shop - Data Scientist - Governance and Experience Data Science,TikTok,£101K,3.2,"Show moreResponsibilities
TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.
The e-commerce data science team aims to maximize the efficiency of e-commerce transactions through quantitative techniques such as mathematical statistics and machine learning. At the same time, we are committed to building a more diverse, inclusive, candid and efficient working atmosphere. We sincerely invite excellent data scientists to join us in building a first-class e-commerce platform.


1. Measuring and monitoring customer experience key metrics in Southeast Asia region, such as NPS, CPO and PARR etc.;
2. Collaborating with stakeholders closely to find RCA and action plans;
3. Sorting out and establishing customer experience metrics systems, effectively discovering related problems, and providing solutions to business partner;
4. Conducting deep analysis about seller and customer experience, to explore more opportunities in repurchase, retention and conversion;
5. Designing a/b experiment for effectiveness improvement and ROI calculation, conducting analysis to optimize strategies.
Qualifications


1. Bachelor degree or above, major in science or engineering or engaged in data statistics, analysis, modeling related working areas after graduation;
2. Proficient in SQL, can use Python or R for data analysis;
3. Able to write required documents in English and communicate with global staff;
4. Have good learning ability with curiosity to pick up domain knowledge in new areas quickly; Can lead a small project team to support business;
5. Have strong ability to work under pressure and overcome challenges.


1. Experience in e-commerce business and analysis is preferred;
2. Overseas business experience or analytical experience is preferred;
3. Major in mathematics, statistics, computer is preferred.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",,"London, England",2016,10000+ Employees
RM Data Science Analytics Engineer,Hertz Europe,£52K,3.2,"Show moreThe Hertz Corporation operates the Hertz, Dollar Car Rental, Thrifty Car Rental brands in approximately 9,700 corporate and franchisee locations throughout North America, Europe, The Caribbean, Latin America, Africa, the Middle East, Asia, Australia and New Zealand. The Hertz Corporation is one of the largest worldwide airport general use vehicle rental companies, and the Hertz brand is one of the most recognized in the world.
The Data Science Analyst is responsible for Applications, Tools and Models that deliver actions and insights from Hertz's rich history of observational data. Working closely with management, Analytics and the Data Science team, Data Science Analyst will build descriptive, predictive, and prescriptive models and support applications with the ultimate goal of maximizing profit and gaining a competitive advantage in the market.

What You'll Do:
1. Oversees the data science department's training and competency development, determining best practices and work standards. The Data Science initiates data science programs across the department not only with a view of improving departmental performance but also with a focus on revenue growth and achievement of the business' overall targets and objectives.
2. Building and managing new data tables that support data collection in the department, cross-channel data integration, data visualization, dashboards, predictive analytics, and data mining.
3. Leverages data science tools and techniques in analyzing large data-sets that will enable him to develop custom models and algorithms to uncover insights, trends, and patterns in the data, which will be useful in availing informed courses of action.
4. Create data science platforms to test and experiment with techniques inclusive of advanced analytics, behavioral modeling, and churn capitalizing on new data science approaches that can yield revenue for the business.
5. Design and architect data processing pipelines for the department. In this analytical position, the Data Science further drives the collection of new data as well as the refinement of existing business data sources.
6. Leads the department in the development of new insights, advanced modeling techniques, and data science capabilities.
7. Mentor members of data scientist and data analysts in best practices for data preparation, analysis, coding and modeling

What We're Looking For:
Educational Background:
Required Experience:

What You'll Strive For:

What You'll Get:",,"Uxbridge, England",1918,10000+ Employees
Graduate Development Programme - Technical Data Science,Croda,£43K,3.6,"Show moreVacancy Number: req4386

Location: Materials Innovation Factory (MIF)

Location Address:
Materials Innovation Factory, Oxford Street
Liverpool, Merseyside, L69 7ZD
United Kingdom

Closing Date: 12/6/2024",,"Liverpool, England",1925,5001 to 10000 Employees
Research Assistant in Geospatial Data Science,University of Oxford,£38K,4.1,"Show moreBased at Oxford Population Health (Nuffield Department of Population Health), the Demographic Science Unit (DSU) is at the forefront of demographic research that aids society, government and industry. The DSU is home to the Leverhulme Centre for Demographic Science, an interdisciplinary research centre funded by the Leverhulme Trust and directed by Professor Melinda Mills which aims to disrupt and realign how we measure and model populations by infusing new types of data, methods and unconventional approaches to tackle the most challenging demographic problems of our time.
We are seeking a Research Assistant to provide support for data wrangling of geospatial data. You will be responsible for several duties such as managing your own research and administrative activities, selecting and adapting geospatial GIS data to populate a geospatial database and undertake comprehensive and systematic data source reviews.",,"Oxford, England",--,501 to 1000 Employees
"Data Science, Analytics Intern - June 2025 - London",Expedia Group,null,3.8,"Show moreExpedia Group brands power global travel for everyone, everywhere. We design cutting-edge tech to make travel smoother and more memorable, and we create groundbreaking solutions for our partners. Our diverse, vibrant, and welcoming community is essential in driving our success.
Why Join Us?
To shape the future of travel, people must come first. Guided by our Values and Leadership Agreements, we foster an open culture where everyone belongs, differences are celebrated and know that when one of us wins, we all win.
We provide a full benefits package, including exciting travel perks, generous time-off, parental leave, a global hybrid work setup (with some pretty cool offices), and career development resources, all to fuel our employees' passion for travel and ensure a rewarding career journey. We’re building a more open world. Join us.
Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.",,"London, England",1996,10000+ Employees
Internship - Data Science,ION,null,3.3,"Show moreAt ION:
We want to innovate the financial services offered by commercial/retail banks in Italy in the areas of wealth management, credit lending, risk management and compliance. Building on our consolidated expertise and product offering in the Capital Markets domain, we want to scale our solutions and frameworks to the commercial/retail banking industry. To do so, we start from the quantitative modelling and analysis of the current processes put in place by our customers, so that we can profile opportunities of automation and prioritize client needs on manual/painful workflows. The resource will be involved in business process analyses of Italian commercial/retail financial institutions and is expected to integrate structured information extracted from interviews with the analysis of literature and documentation to build a quantitative picture of the AS-IS. The analysis will then be complemented with a consequent implementation analysis and product roadmap definition to design the TO-BE and drive product evolutions and developments. The project entails modelling complex business contexts, extracting structured information from unstructured sources, performing quantitative analyses, presenting findings and recommendations to external clients and internal stakeholders, contributing to the definition of product backlogs.",,"London, England",--,Unknown
